staff_id,name,role,assigned_location_id,phone
1,Staff-1,District Health Officer,1,+918836553621
2,Staff-2,State Health Officer,76,+919843355206
3,Staff-3,ASHA Worker,154,+919062994753
4,Staff-4,State Health Officer,25,+917110533960
5,Staff-5,State Health Officer,44,+919741008001
6,Staff-6,District Health Officer,21,+919033970459
7,Staff-7,State Health Officer,79,+918707109267
8,Staff-8,District Health Officer,126,+919839145425
9,Staff-9,District Health Officer,24,+919756795104
10,Staff-10,ASHA Worker,100,+917794058803
11,Staff-11,District Health Officer,98,+918586568081
12,Staff-12,State Health Officer,115,+917191628232
13,Staff-13,District Health Officer,113,+918997408731
14,Staff-14,District Health Officer,58,+918153464986
15,Staff-15,ASHA Worker,16,+917649101302
16,Staff-16,ASHA Worker,171,+917415334610
17,Staff-17,State Health Officer,172,+918476572736
18,Staff-18,ASHA Worker,106,+919532855799
19,Staff-19,State Health Officer,142,+917261923195
20,Staff-20,District Health Officer,210,+919244473790
21,Staff-21,District Health Officer,138,+919950934291
22,Staff-22,District Health Officer,147,+918012074766
23,Staff-23,District Health Officer,77,+917339109365
24,Staff-24,District Health Officer,183,+917149157745
25,Staff-25,ASHA Worker,147,+919219713803
26,Staff-26,ASHA Worker,174,+919664052763
27,Staff-27,State Health Officer,31,+918928610987
28,Staff-28,State Health Officer,43,+917910061300
29,Staff-29,State Health Officer,33,+917183291591
30,Staff-30,District Health Officer,21,+919934001543
31,Staff-31,District Health Officer,52,+919693916084
32,Staff-32,State Health Officer,153,+918107613491
33,Staff-33,District Health Officer,187,+917287814151
34,Staff-34,State Health Officer,100,+919389566051
35,Staff-35,District Health Officer,142,+918400703953
36,Staff-36,District Health Officer,134,+918967770105
37,Staff-37,State Health Officer,202,+919676013419
38,Staff-38,ASHA Worker,134,+918802141793
39,Staff-39,State Health Officer,107,+917642708893
40,Staff-40,State Health Officer,146,+919525157887
41,Staff-41,ASHA Worker,195,+917430372878
42,Staff-42,State Health Officer,145,+917433750626
43,Staff-43,District Health Officer,138,+918476906868
44,Staff-44,District Health Officer,68,+918645159179
45,Staff-45,ASHA Worker,125,+919456821088
46,Staff-46,ASHA Worker,122,+917160913827
47,Staff-47,State Health Officer,71,+918730759996
48,Staff-48,State Health Officer,159,+919614154439
49,Staff-49,ASHA Worker,178,+918725373847
50,Staff-50,State Health Officer,102,+918423756197
51,Staff-51,ASHA Worker,61,+917211703120
52,Staff-52,ASHA Worker,122,+918153561013
53,Staff-53,District Health Officer,6,+918451123758
54,Staff-54,District Health Officer,80,+918204079697
55,Staff-55,District Health Officer,179,+919941417062
56,Staff-56,State Health Officer,59,+917577181411
57,Staff-57,District Health Officer,191,+918903145590
58,Staff-58,District Health Officer,69,+918790025237
59,Staff-59,ASHA Worker,166,+917383484123
60,Staff-60,State Health Officer,114,+917907915284
61,Staff-61,District Health Officer,190,+919080741273
